preflabel,definition,notation,altlabel,related
innerSurface,"the inner surface of a building, wall or surface",innerSurface,inner|inner-surface,
outerSurface,"the outer surface of a building, wall or surface",outerSurface,outer|outer-surface,
centrePlane,"the centre plane of a wall, or floor slab",centrePlane,centre|centre-plane,
lowerSurface,"the lower surface of a building, floor or ceiling",lowerSurface,lower|lower-surface,
upperSurface,"the upper surface of a building, floor or ceiling",upperSurface,upper|upper-surface,
underSurface,"the under surface of a building or floor slab",underSurface,under|under-surface,
externalSurface,"the external surface of a building, wall, floor or ceiling",externalSurface,external|external-surface,
surface,"the surface of a building, wall, floor or ceiling",surface,surface,
plane,"the plane of a building, wall, floor or ceiling",plane,plane,
projection,"the projected continuation of a building, wall, floor, ceiling or associated surface or plane used to define a boundary beyond the physical extent of the referenced feature",projection,projected|projected-surface|projected-plane,surface|plane
